Province,Year,Number of projects,Total registered capital (Mill. USD),Income,Poverty Rate,Number of Enterprises,Employment Rate,Trained Labour Rate,Governance Score,Quintile 1,Quintile 2,Quintile 3,Quintile 4,Quintile 5,Ratio,Index of Industrial Output,RuralPop,UrbanPop,UrbanPercent,RuralPercent
Đắk Nông,2018,12,144400000,3029000,12.1,1956,59.6,13.9,37.05,711,1363,2163,3205,7751,10.90154712,109,521700,93700,0.152258694,0.847741307
Đắk Nông,2019,13,152100000,3234000,10.1,1996,59.1,14.1,36.21,677,1539,2626,3850,7505,11.08567208,104.3,530400,95400,0.152444871,0.847555129
Đắk Nông,2020,17,157600000,2809000,9,2221,57.5,14.3,35.44,754,1388,2366,3429,6145,8.149867374,107.3,540400,97500,0.152845274,0.847154726
Đắk Nông,2021,20,311400000,2745000,8.2,2361,58.2,15.4,28.9,766,1284,2067,3237,6418,8.378590078,110.7,556400,108000,0.162552679,0.837447321
Lâm Đồng,2011,113,496100000,1257000,11.8,2207,55.9,13,34.22,350,617,950,1464,2906,8.302857143,109.3,754000,464700,0.381307951,0.618692049
Lâm Đồng,2013,113,472400000,1848000,9.3,2642,57.2,16.3,35.49,485,966,1515,2215,4047,8.344329897,129,760600,484800,0.389272523,0.610727477
Lâm Đồng,2014,122,499500000,2498000,7.8,3294,59,14.7,36.53,712,1264,1894,2706,5928,8.325842697,116.5,768800,490500,0.389502104,0.610497896
Lâm Đồng,2015,105,481900000,2499000,6,3472,56,15.2,34.21,711,1260,1888,2701,5921,8.327707454,105.5,769900,491400,0.389598034,0.610401966
Lâm Đồng,2016,102,458600000,2963000,8.1,3810,61,16,35.2,848,1430,2238,3175,7137,8.416273585,106.2,775900,495400,0.389679855,0.610320145
Lâm Đồng,2017,108,525900000,2979000,6.9,5507,56.7,15,35.21,840,1430,2238,3175,7222,8.597619048,110.4,781700,499600,0.389916491,0.610083509
Lâm Đồng,2018,103,510800000,3640000,5.8,5878,57.5,16.6,36,942,1789,2668,3860,8957,9.508492569,107.2,786800,504600,0.390738733,0.609261267
Lâm Đồng,2019,103,520600000,3929000,4.8,6319,58.8,16.7,35.41,938,1984,3169,4504,9059,9.657782516,104.9,790300,509000,0.391749404,0.608250597
Lâm Đồng,2020,104,516800000,3742000,4,6969,58.3,18.5,33.34,1203,2214,3160,4259,7893,6.561097257,100.2,795600,514200,0.39257902,0.60742098
Lâm Đồng,2021,102,530200000,3718000,3.3,7380,58.1,20.5,31.31,1042,2076,2924,4446,8133,7.805182342,110.6,802700,519100,0.392722046,0.607277954
Bình Phước,2011,93,678900000,1526000,9.1,1811,57.1,12.3,35.86,531,814,1129,1583,3565,6.713747646,110.9,750100,151500,0.168034605,0.831965395
Bình Phước,2013,113,786900000,2218000,7,1866,59.4,14.5,35.38,703,1345,1817,2476,4740,6.742532006,112.1,765800,154900,0.168241555,0.831758445
